,MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,TDU,DU,MP,O-to-M,U_He (mol/kg),D_He (cm2/s),Uptake_bool,Diffusion_bool,A,AB,ABC,ABCD,B
0,ADARAA_clean,12.29205,2.27598101752158,5.40077,0.881935,0.787813,0.694799858155,2485.27,54.5454545454545,22.7272727272727,10.2272727272727,4.54545454545455,4.54545454545455,0.0,0.0,3.40909090909091,913.0,0.792534722222222,6.25,6.0,0.0315518574,0.0018917554402719,0,1,"[12.29205, 5.40077, 2.27598101752158]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27, 54.5454545454545, 22.7272727272727, 10.2272727272727, 4.54545454545455, 4.54545454545455, 0.0, 0.0, 3.40909090909091]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27, 54.5454545454545, 22.7272727272727, 10.2272727272727, 4.54545454545455, 4.54545454545455, 0.0, 0.0, 3.40909090909091, 913.0, 0.792534722222222, 6.0, 6.25]","[0.881935, 0.787813, 0.694799858155, 2485.27]"
1,ADASIJ_clean,18.23438,2.7626843872344,6.60024,0.629251,1.21573,0.76499931823,3491.36,47.8260869565217,26.0869565217391,21.7391304347826,0.0,0.0,0.0,0.0,4.34782608695652,193.0,0.731060606060606,9.09090909090909,10.0,0.0527685482,0.002328422899032,1,1,"[18.23438, 6.60024, 2.7626843872344]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652, 193.0, 0.731060606060606, 10.0, 9.09090909090909]","[0.629251, 1.21573, 0.76499931823, 3491.36]"
2,ADASOP_clean,18.07263,2.69199935651661,6.71346,0.63164,1.24216,0.7845979424,3519.51,47.8260869565217,26.0869565217391,21.7391304347826,0.0,0.0,0.0,0.0,4.34782608695652,193.0,0.731060606060606,9.09090909090909,10.0,0.052480703,0.0019334254150981,1,1,"[18.07263, 6.71346, 2.69199935651661]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652, 193.0, 0.731060606060606, 10.0, 9.09090909090909]","[0.63164, 1.24216, 0.7845979424, 3519.51]"
3,ADASUV_clean,17.16775,2.54971633101646,6.7332,0.625693,1.22616,0.76719972888,3636.01,47.1428571428571,25.7142857142857,22.8571428571429,0.0,0.0,0.0,0.0,4.28571428571429,193.0,0.731060606060606,9.09090909090909,10.6666666666667,0.0515634584,0.0013958510811891,1,1,"[17.16775, 6.7332, 2.54971633101646]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01, 47.1428571428571, 25.7142857142857, 22.8571428571429, 0.0, 0.0, 0.0, 0.0, 4.28571428571429]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01, 47.1428571428571, 25.7142857142857, 22.8571428571429, 0.0, 0.0, 0.0, 0.0, 4.28571428571429, 193.0, 0.731060606060606, 10.6666666666667, 9.09090909090909]","[0.625693, 1.22616, 0.76719972888, 3636.01]"
4,ADATAC_clean,26.33515,2.56268993817856,10.27637,0.33727,2.5825,0.870999775,5129.28,48.5714285714286,28.5714285714286,14.2857142857143,5.71428571428571,0.0,0.0,0.0,2.85714285714286,289.0,0.708333333333333,5.88235294117647,10.0,0.1073261911,0.0027177308756507,1,1,"[26.33515, 10.27637, 2.56268993817856]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28, 48.5714285714286, 28.5714285714286, 14.2857142857143, 5.71428571428571, 0.0, 0.0, 0.0, 2.85714285714286]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28, 48.5714285714286, 28.5714285714286, 14.2857142857143, 5.71428571428571, 0.0, 0.0, 0.0, 2.85714285714286, 289.0, 0.708333333333333, 10.0, 5.88235294117647]","[0.33727, 2.5825, 0.870999775, 5129.28]"
5,ADATEG_manual,27.33782,2.04945933140616,13.33904,0.238777,3.75246,0.89600114142,6170.7,57.9310344827586,31.0344827586207,8.27586206896552,0.689655172413793,0.0,0.0,0.0,2.06896551724138,493.0,0.733630952380952,3.57142857142857,8.0,0.154555269,0.0039981646853543,1,1,"[27.33782, 13.33904, 2.04945933140616]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7, 57.9310344827586, 31.0344827586207, 8.27586206896552, 0.689655172413793, 0.0, 0.0, 0.0, 2.06896551724138]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7, 57.9310344827586, 31.0344827586207, 8.27586206896552, 0.689655172413793, 0.0, 0.0, 0.0, 2.06896551724138, 493.0, 0.733630952380952, 8.0, 3.57142857142857]","[0.238777, 3.75246, 0.89600114142, 6170.7]"
6,ADATOQ_clean,10.5421,1.16152184140562,9.07611,0.632077,1.15144,0.72779874088,3677.95,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.04657916,0.001710606140754,1,1,"[10.5421, 9.07611, 1.16152184140562]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.632077, 1.15144, 0.72779874088, 3677.95]"
7,ADATUW_clean,10.34629,1.16769483231081,8.86044,0.640612,1.13953,0.72999659236,3624.84,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0451727481,0.0017744146783006,1,1,"[10.34629, 8.86044, 1.16769483231081]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.640612, 1.13953, 0.72999659236, 3624.84]"
8,ADAVAE_clean,10.21446,1.15978649262705,8.80719,0.655338,1.11423,0.73019725974,3557.22,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0442002705,0.0012418443022156,1,0,"[10.21446, 8.80719, 1.15978649262705]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.655338, 1.11423, 0.73019725974, 3557.22]"
9,ADAVEI_clean,10.15021,1.16559353895586,8.70819,0.656268,1.09559,0.71900065812,3672.63,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0442070507,0.0007859652403335,1,0,"[10.15021, 8.70819, 1.16559353895586]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.656268, 1.09559, 0.71900065812, 3672.63]"
10,ADAVIM_clean,10.34557,1.16233870560015,8.90065,0.637582,1.14025,0.7270028755,3693.81,46.7065868263473,39.5209580838323,0.0,11.9760479041916,0.0,0.0,0.0,1.79640718562874,181.0,0.580128205128205,3.84615384615385,0.0,0.0448323065,0.0018168973344441,1,1,"[10.34557, 8.90065, 1.16233870560015]","[10.34557, 8.90065, 1.16233870560015, 0.637582, 1.14025, 0.7270028755, 3693.81]","[10.34557, 8.90065, 1.16233870560015, 0.637582, 1.14025, 0.7270028755, 3693.81, 46.7065868263473, 39.5209580838323, 0.0, 11.9760479041916, 0.0, 0.0, 0.0, 1.79640718562874]","[10.34557, 8.90065, 1.16233870560015, 0.637582, 1.14025, 0.7270028755, 3693.81, 46.7065868263473, 39.5209580838323, 0.0, 11.9760479041916, 0.0, 0.0, 0.0, 1.79640718562874, 181.0, 0.580128205128205, 0.0, 3.84615384615385]","[0.637582, 1.14025, 0.7270028755, 3693.81]"
11,ADUWIH_clean,9.28386,1.41708464476187,6.55138,0.722123,0.982935,0.709799971005,2844.14,48.6486486486487,32.4324324324324,16.2162162162162,0.0,0.0,0.0,0.0,2.7027027027027,145.0,0.671296296296296,5.55555555555556,12.0,0.0401437085,0.0008165042944942,1,0,"[9.28386, 6.55138, 1.41708464476187]","[9.28386, 6.55138, 1.41708464476187, 0.722123, 0.982935, 0.709799971005, 2844.14]","[9.28386, 6.55138, 1.41708464476187, 0.722123, 0.982935, 0.709799971005, 2844.14, 48.6486486486487, 32.4324324324324, 16.2162162162162, 0.0, 0.0, 0.0, 0.0, 2.7027027027027]","[9.28386, 6.55138, 1.41708464476187, 0.722123, 0.982935, 0.709799971005, 2844.14, 48.6486486486487, 32.4324324324324, 16.2162162162162, 0.0, 0.0, 0.0, 0.0, 2.7027027027027, 145.0, 0.671296296296296, 12.0, 5.55555555555556]","[0.722123, 0.982935, 0.709799971005, 2844.14]"
12,AGIREP_clean,10.92956,1.59411568232502,6.85619,0.99837,0.690726,0.68960011662,2253.69,45.0,15.0,31.6666666666667,0.0,0.0,0.0,0.0,8.33333333333333,181.0,0.837962962962963,18.5185185185185,7.6,0.0287534939,0.0013966703186893,0,1,"[10.92956, 6.85619, 1.59411568232502]","[10.92956, 6.85619, 1.59411568232502, 0.99837, 0.690726, 0.68960011662, 2253.69]","[10.92956, 6.85619, 1.59411568232502, 0.99837, 0.690726, 0.68960011662, 2253.69, 45.0, 15.0, 31.6666666666667, 0.0, 0.0, 0.0, 0.0, 8.33333333333333]","[10.92956, 6.85619, 1.59411568232502, 0.99837, 0.690726, 0.68960011662, 2253.69, 45.0, 15.0, 31.6666666666667, 0.0, 0.0, 0.0, 0.0, 8.33333333333333, 181.0, 0.837962962962963, 7.6, 18.5185185185185]","[0.99837, 0.690726, 0.68960011662, 2253.69]"
13,ALANAD_clean,8.58065,1.47702860880642,5.8094,0.697286,1.08162,0.75419848332,4035.37,52.0,16.0,24.0,4.0,0.0,0.0,0.0,4.0,177.0,0.850961538461538,7.69230769230769,12.0,0.0450498391,0.0011558976932593,1,0,"[8.58065, 5.8094, 1.47702860880642]","[8.58065, 5.8094, 1.47702860880642, 0.697286, 1.08162, 0.75419848332, 4035.37]","[8.58065, 5.8094, 1.47702860880642, 0.697286, 1.08162, 0.75419848332, 4035.37, 52.0, 16.0, 24.0, 4.0, 0.0, 0.0, 0.0, 4.0]","[8.58065, 5.8094, 1.47702860880642, 0.697286, 1.08162, 0.75419848332, 4035.37, 52.0, 16.0, 24.0, 4.0, 0.0, 0.0, 0.0, 4.0, 177.0, 0.850961538461538, 12.0, 7.69230769230769]","[0.697286, 1.08162, 0.75419848332, 4035.37]"
14,ALEJAE_clean,19.86541,1.36357527343015,14.56862,0.274675,3.25548,0.894198969,5195.22,44.1176470588235,30.8823529411765,13.9705882352941,8.82352941176471,0.0,0.0,0.0,2.20588235294118,118.0,0.655555555555556,5.0,12.6666666666667,0.1363880064,0.0034166608072992,1,1,"[19.86541, 14.56862, 1.36357527343015]","[19.86541, 14.56862, 1.36357527343015, 0.274675, 3.25548, 0.894198969, 5195.22]","[19.86541, 14.56862, 1.36357527343015, 0.274675, 3.25548, 0.894198969, 5195.22, 44.1176470588235, 30.8823529411765, 13.9705882352941, 8.82352941176471, 0.0, 0.0, 0.0, 2.20588235294118]","[19.86541, 14.56862, 1.36357527343015, 0.274675, 3.25548, 0.894198969, 5195.22, 44.1176470588235, 30.8823529411765, 13.9705882352941, 8.82352941176471, 0.0, 0.0, 0.0, 2.20588235294118, 118.0, 0.655555555555556, 12.6666666666667, 5.0]","[0.274675, 3.25548, 0.894198969, 5195.22]"
15,ALOLET_charged,9.3993,1.80266622683449,5.21411,0.901246,0.715232,0.644599979072,1879.08,49.6350364963504,27.7372262773723,17.5182481751825,2.91970802919708,0.0,0.0,0.0,2.18978102189781,295.0,0.723039215686274,4.41176470588235,16.0,0.0263889118,0.000908127479658,0,0,"[9.3993, 5.21411, 1.80266622683449]","[9.3993, 5.21411, 1.80266622683449, 0.901246, 0.715232, 0.644599979072, 1879.08]","[9.3993, 5.21411, 1.80266622683449, 0.901246, 0.715232, 0.644599979072, 1879.08, 49.6350364963504, 27.7372262773723, 17.5182481751825, 2.91970802919708, 0.0, 0.0, 0.0, 2.18978102189781]","[9.3993, 5.21411, 1.80266622683449, 0.901246, 0.715232, 0.644599979072, 1879.08, 49.6350364963504, 27.7372262773723, 17.5182481751825, 2.91970802919708, 0.0, 0.0, 0.0, 2.18978102189781, 295.0, 0.723039215686274, 16.0, 4.41176470588235]","[0.901246, 0.715232, 0.644599979072, 1879.08]"
16,ALOLIX_charged,9.32283,1.6650884086444,5.599,0.940569,0.701703,0.660000089007,1979.4,51.5625,24.21875,18.75,2.34375,0.0,0.0,0.0,3.125,304.0,0.767676767676768,6.06060606060606,12.0,0.0282771822,0.0013371890485911,0,0,"[9.32283, 5.599, 1.6650884086444]","[9.32283, 5.599, 1.6650884086444, 0.940569, 0.701703, 0.660000089007, 1979.4]","[9.32283, 5.599, 1.6650884086444, 0.940569, 0.701703, 0.660000089007, 1979.4, 51.5625, 24.21875, 18.75, 2.34375, 0.0, 0.0, 0.0, 3.125]","[9.32283, 5.599, 1.6650884086444, 0.940569, 0.701703, 0.660000089007, 1979.4, 51.5625, 24.21875, 18.75, 2.34375, 0.0, 0.0, 0.0, 3.125, 304.0, 0.767676767676768, 12.0, 6.06060606060606]","[0.940569, 0.701703, 0.660000089007, 1979.4]"
17,ALOLOD_charged,7.87306,1.56615164879322,5.02701,0.898447,0.70544,0.63380045168,2004.72,43.3862433862434,38.0952380952381,14.2857142857143,2.64550264550265,0.0,0.0,0.0,1.58730158730159,277.0,0.563008130081301,3.65853658536585,18.0,0.0246519409,0.000715214087744,0,0,"[7.87306, 5.02701, 1.56615164879322]","[7.87306, 5.02701, 1.56615164879322, 0.898447, 0.70544, 0.63380045168, 2004.72]","[7.87306, 5.02701, 1.56615164879322, 0.898447, 0.70544, 0.63380045168, 2004.72, 43.3862433862434, 38.0952380952381, 14.2857142857143, 2.64550264550265, 0.0, 0.0, 0.0, 1.58730158730159]","[7.87306, 5.02701, 1.56615164879322, 0.898447, 0.70544, 0.63380045168, 2004.72, 43.3862433862434, 38.0952380952381, 14.2857142857143, 2.64550264550265, 0.0, 0.0, 0.0, 1.58730158730159, 277.0, 0.563008130081301, 18.0, 3.65853658536585]","[0.898447, 0.70544, 0.63380045168, 2004.72]"
18,AMOFAK_clean,8.38842,1.24698897269784,6.72694,0.577283,1.35185,0.78040002355,5054.09,52.1739130434783,32.6086956521739,13.0434782608696,0.0,0.0,0.0,0.0,2.17391304347826,133.0,0.692708333333333,4.16666666666667,12.0,0.057343498,0.0026479981795429,1,1,"[8.38842, 6.72694, 1.24698897269784]","[8.38842, 6.72694, 1.24698897269784, 0.577283, 1.35185, 0.78040002355, 5054.09]","[8.38842, 6.72694, 1.24698897269784, 0.577283, 1.35185, 0.78040002355, 5054.09, 52.1739130434783, 32.6086956521739, 13.0434782608696, 0.0, 0.0, 0.0, 0.0, 2.17391304347826]","[8.38842, 6.72694, 1.24698897269784, 0.577283, 1.35185, 0.78040002355, 5054.09, 52.1739130434783, 32.6086956521739, 13.0434782608696, 0.0, 0.0, 0.0, 0.0, 2.17391304347826, 133.0, 0.692708333333333, 12.0, 4.16666666666667]","[0.577283, 1.35185, 0.78040002355, 5054.09]"
19,ANUGEW_clean,14.4419,1.41516496653634,10.2051,0.443469,1.87747,0.83259974343,4708.57,53.1645569620253,27.8481012658228,15.1898734177215,0.0,0.0,0.0,0.0,3.79746835443038,125.0,0.744047619047619,7.14285714285714,8.0,0.0791374529,0.0026798322132962,1,1,"[14.4419, 10.2051, 1.41516496653634]","[14.4419, 10.2051, 1.41516496653634, 0.443469, 1.87747, 0.83259974343, 4708.57]","[14.4419, 10.2051, 1.41516496653634, 0.443469, 1.87747, 0.83259974343, 4708.57, 53.1645569620253, 27.8481012658228, 15.1898734177215, 0.0, 0.0, 0.0, 0.0, 3.79746835443038]","[14.4419, 10.2051, 1.41516496653634, 0.443469, 1.87747, 0.83259974343, 4708.57, 53.1645569620253, 27.8481012658228, 15.1898734177215, 0.0, 0.0, 0.0, 0.0, 3.79746835443038, 125.0, 0.744047619047619, 8.0, 7.14285714285714]","[0.443469, 1.87747, 0.83259974343, 4708.57]"
20,AQIQAU_clean,7.60741,1.20591177202569,6.30843,0.861714,0.763595,0.65800050183,2282.5,53.3333333333333,31.1111111111111,8.88888888888889,4.44444444444444,0.0,0.0,0.0,2.22222222222222,137.0,0.713541666666667,4.16666666666667,8.0,0.0309699655,0.0018373671519825,0,1,"[7.60741, 6.30843, 1.20591177202569]","[7.60741, 6.30843, 1.20591177202569, 0.861714, 0.763595, 0.65800050183, 2282.5]","[7.60741, 6.30843, 1.20591177202569, 0.861714, 0.763595, 0.65800050183, 2282.5, 53.3333333333333, 31.1111111111111, 8.88888888888889, 4.44444444444444, 0.0, 0.0, 0.0, 2.22222222222222]","[7.60741, 6.30843, 1.20591177202569, 0.861714, 0.763595, 0.65800050183, 2282.5, 53.3333333333333, 31.1111111111111, 8.88888888888889, 4.44444444444444, 0.0, 0.0, 0.0, 2.22222222222222, 137.0, 0.713541666666667, 8.0, 4.16666666666667]","[0.861714, 0.763595, 0.65800050183, 2282.5]"
21,AQOLEZ_clean,15.56875,1.58727609912657,9.80847,0.777237,0.926101,0.719799962937,1644.67,34.5098039215686,28.2352941176471,0.0,31.3725490196078,1.17647058823529,0.0,0.0,4.70588235294118,53.0,0.602272727272727,13.6363636363636,0.0,0.0406301729,0.0020562854282637,1,1,"[15.56875, 9.80847, 1.58727609912657]","[15.56875, 9.80847, 1.58727609912657, 0.777237, 0.926101, 0.719799962937, 1644.67]","[15.56875, 9.80847, 1.58727609912657, 0.777237, 0.926101, 0.719799962937, 1644.67, 34.5098039215686, 28.2352941176471, 0.0, 31.3725490196078, 1.17647058823529, 0.0, 0.0, 4.70588235294118]","[15.56875, 9.80847, 1.58727609912657, 0.777237, 0.926101, 0.719799962937, 1644.67, 34.5098039215686, 28.2352941176471, 0.0, 31.3725490196078, 1.17647058823529, 0.0, 0.0, 4.70588235294118, 53.0, 0.602272727272727, 0.0, 13.6363636363636]","[0.777237, 0.926101, 0.719799962937, 1644.67]"
22,AQOLID_clean,15.46142,2.07585715225537,7.44821,1.15975,0.559948,0.649399693,1054.13,37.2759856630824,25.8064516129032,0.0,22.9390681003584,1.0752688172043,0.0,0.0,12.9032258064516,545.0,0.655048076923077,34.6153846153846,0.0,0.0276550345,0.0013043769903145,0,0,"[15.46142, 7.44821, 2.07585715225537]","[15.46142, 7.44821, 2.07585715225537, 1.15975, 0.559948, 0.649399693, 1054.13]","[15.46142, 7.44821, 2.07585715225537, 1.15975, 0.559948, 0.649399693, 1054.13, 37.2759856630824, 25.8064516129032, 0.0, 22.9390681003584, 1.0752688172043, 0.0, 0.0, 12.9032258064516]","[15.46142, 7.44821, 2.07585715225537, 1.15975, 0.559948, 0.649399693, 1054.13, 37.2759856630824, 25.8064516129032, 0.0, 22.9390681003584, 1.0752688172043, 0.0, 0.0, 12.9032258064516, 545.0, 0.655048076923077, 0.0, 34.6153846153846]","[1.15975, 0.559948, 0.649399693, 1054.13]"
23,AQOLUP_clean,15.5822,1.6131910999209,9.65924,0.788284,0.903228,0.712000180752,1632.89,41.5584415584416,20.7792207792208,0.0,31.1688311688312,1.2987012987013,0.0,0.0,5.19480519480519,577.0,0.751302083333333,12.5,0.0,0.0402954195,0.0019326378951466,1,1,"[15.5822, 9.65924, 1.6131910999209]","[15.5822, 9.65924, 1.6131910999209, 0.788284, 0.903228, 0.712000180752, 1632.89]","[15.5822, 9.65924, 1.6131910999209, 0.788284, 0.903228, 0.712000180752, 1632.89, 41.5584415584416, 20.7792207792208, 0.0, 31.1688311688312, 1.2987012987013, 0.0, 0.0, 5.19480519480519]","[15.5822, 9.65924, 1.6131910999209, 0.788284, 0.903228, 0.712000180752, 1632.89, 41.5584415584416, 20.7792207792208, 0.0, 31.1688311688312, 1.2987012987013, 0.0, 0.0, 5.19480519480519, 577.0, 0.751302083333333, 0.0, 12.5]","[0.788284, 0.903228, 0.712000180752, 1632.89]"
24,AQOMAW_clean,15.65949,2.51251726810202,6.23259,1.14479,0.566042,0.64799922118,1133.23,41.2371134020619,24.7422680412371,4.12371134020619,16.4948453608247,1.03092783505155,0.0,0.0,12.3711340206186,85.0,0.708333333333333,30.0,0.666666666666667,0.0267781827,0.0015070914987669,0,1,"[15.65949, 6.23259, 2.51251726810202]","[15.65949, 6.23259, 2.51251726810202, 1.14479, 0.566042, 0.64799922118, 1133.23]","[15.65949, 6.23259, 2.51251726810202, 1.14479, 0.566042, 0.64799922118, 1133.23, 41.2371134020619, 24.7422680412371, 4.12371134020619, 16.4948453608247, 1.03092783505155, 0.0, 0.0, 12.3711340206186]","[15.65949, 6.23259, 2.51251726810202, 1.14479, 0.566042, 0.64799922118, 1133.23, 41.2371134020619, 24.7422680412371, 4.12371134020619, 16.4948453608247, 1.03092783505155, 0.0, 0.0, 12.3711340206186, 85.0, 0.708333333333333, 0.666666666666667, 30.0]","[1.14479, 0.566042, 0.64799922118, 1133.23]"
25,AQOMEA01_clean,15.71951,1.6158387975811,9.72839,0.76692,0.936734,0.71840003928,1670.9,41.5584415584416,20.7792207792208,0.0,31.1688311688312,1.2987012987013,0.0,0.0,5.19480519480519,577.0,0.751302083333333,12.5,0.0,0.0413992903,0.0019267596539334,1,1,"[15.71951, 9.72839, 1.6158387975811]","[15.71951, 9.72839, 1.6158387975811, 0.76692, 0.936734, 0.71840003928, 1670.9]","[15.71951, 9.72839, 1.6158387975811, 0.76692, 0.936734, 0.71840003928, 1670.9, 41.5584415584416, 20.7792207792208, 0.0, 31.1688311688312, 1.2987012987013, 0.0, 0.0, 5.19480519480519]","[15.71951, 9.72839, 1.6158387975811, 0.76692, 0.936734, 0.71840003928, 1670.9, 41.5584415584416, 20.7792207792208, 0.0, 31.1688311688312, 1.2987012987013, 0.0, 0.0, 5.19480519480519, 577.0, 0.751302083333333, 0.0, 12.5]","[0.76692, 0.936734, 0.71840003928, 1670.9]"
26,AQUCOG_clean,11.41407,1.07682038983791,10.59979,1.19971,0.549134,0.65880155114,1314.22,44.4444444444444,11.1111111111111,33.3333333333333,0.0,0.0,0.0,0.0,11.1111111111111,64.0,0.888888888888889,25.0,6.0,0.0236300913,0.0012519080080687,0,0,"[11.41407, 10.59979, 1.07682038983791]","[11.41407, 10.59979, 1.07682038983791, 1.19971, 0.549134, 0.65880155114, 1314.22]","[11.41407, 10.59979, 1.07682038983791, 1.19971, 0.549134, 0.65880155114, 1314.22, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111]","[11.41407, 10.59979, 1.07682038983791, 1.19971, 0.549134, 0.65880155114, 1314.22, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111, 64.0, 0.888888888888889, 6.0, 25.0]","[1.19971, 0.549134, 0.65880155114, 1314.22]"
27,AQUCUM_clean,11.51533,1.0738406303912,10.7235,1.1988,0.55222,0.662001336,1317.1,44.4444444444444,11.1111111111111,33.3333333333333,0.0,0.0,0.0,0.0,11.1111111111111,64.0,0.888888888888889,25.0,6.0,0.024130606,0.0012874579348896,0,0,"[11.51533, 10.7235, 1.0738406303912]","[11.51533, 10.7235, 1.0738406303912, 1.1988, 0.55222, 0.662001336, 1317.1]","[11.51533, 10.7235, 1.0738406303912, 1.1988, 0.55222, 0.662001336, 1317.1, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111]","[11.51533, 10.7235, 1.0738406303912, 1.1988, 0.55222, 0.662001336, 1317.1, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111, 64.0, 0.888888888888889, 6.0, 25.0]","[1.1988, 0.55222, 0.662001336, 1317.1]"
